course_detail,frame,fukusho,futan,gap,horse,horse_num,jockey,odds,pop,race_category,race_condition,race_date,race_name,race_num,rank,run_count,sexage,stable,tansho,time,weight
芝1800m (右 外),4,130,55.0,,ボッケリーニ,4,川田,2.4,1,5回京都1日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:25,2019/11/02(土),３歳以上１勝クラス,12,1,13.0,牡3,(栗東)池江,240,1:47.2,450(-4)
芝1800m (右 外),3,190,55.0,アタマ,アドマイヤポラリス,3,岩田康,6.7,4,5回京都1日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:25,2019/11/02(土),３歳以上１勝クラス,12,2,13.0,牡3,(栗東)友道,0,1:47.2,472(+10)
芝1800m (右 外),5,360,54.0,1/2,サンレイポケット,7,▲亀田,19.7,6,5回京都1日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:25,2019/11/02(土),３歳以上１勝クラス,12,3,13.0,牡4,(栗東)高橋忠,0,1:47.3,472(-16)
芝1800m (右 外),7,0,55.0,3/4,パトリック,11,Ｍデムーロ,4.7,2,5回京都1日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:25,2019/11/02(土),３歳以上１勝クラス,12,4,13.0,牡3,(栗東)岡田,0,1:47.4,464(-4)
芝1800m (右 外),2,0,55.0,2,ウスベニノキミ,2,松山,6.5,3,5回京都1日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:25,2019/11/02(土),３歳以上１勝クラス,12,5,13.0,牝4,(栗東)鈴木孝,0,1:47.7,448(-2)
芝1800m (右 外),8,0,53.0,クビ,メトロポール,12,和田,9.4,5,5回京都1日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:25,2019/11/02(土),３歳以上１勝クラス,12,6,13.0,牝3,(栗東)吉村,0,1:47.8,480(+4)
芝1800m (右 外),7,0,55.0,アタマ,テーオーアマゾン,10,古川,23.2,7,5回京都1日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:25,2019/11/02(土),３歳以上１勝クラス,12,7,13.0,牡3,(栗東)浜田,0,1:47.8,478(-2)
芝1800m (右 外),5,0,55.0,1.1/4,ジャミールフエルテ,6,吉田隼,36.2,10,5回京都1日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:25,2019/11/02(土),３歳以上１勝クラス,12,8,13.0,牡3,(栗東)大久保,0,1:48.0,464(-4)
芝1800m (右 外),6,0,53.0,1.1/2,マルモネオフォース,8,田中健,31.4,9,5回京都1日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:25,2019/11/02(土),３歳以上１勝クラス,12,9,13.0,牝3,(栗東)木原,0,1:48.3,500(0)
芝1800m (右 外),1,0,56.0,クビ,タイセイグランツ,1,☆坂井,107.6,12,5回京都1日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:25,2019/11/02(土),３歳以上１勝クラス,12,10,13.0,牡4,(栗東)矢作,0,1:48.3,520(+2)
