course_detail,frame,fukusho,futan,gap,horse,horse_num,jockey,odds,pop,race_category,race_condition,race_date,race_name,race_num,rank,run_count,sexage,stable,tansho,time,weight
ダ1800m (右),3,130,56.0,,ハーベストムーン,3,鮫島駿,5.7,3,3回京都10日目 ３歳 サラ３歳オープン,天気：晴 / 馬場：良 / 発走：14:50,2018/05/20(日),鳳雛Ｓ ,10,1,9.0,牡3,(栗東)浅見,570,1:53.4,510(-2)
ダ1800m (右),7,110,56.0,クビ,グレートタイム,7,岡田祥嗣,2.6,1,3回京都10日目 ３歳 サラ３歳オープン,天気：晴 / 馬場：良 / 発走：14:50,2018/05/20(日),鳳雛Ｓ ,10,2,9.0,牡3,(栗東)藤原英,0,1:53.4,472(+12)
ダ1800m (右),5,110,56.0,1.1/4,コマビショウ,5,浜中,2.6,2,3回京都10日目 ３歳 サラ３歳オープン,天気：晴 / 馬場：良 / 発走：14:50,2018/05/20(日),鳳雛Ｓ ,10,3,9.0,牡3,(栗東)南井,0,1:53.6,486(-4)
ダ1800m (右),1,0,56.0,1.3/4,○外フィールシュパース,1,藤岡佑,13.8,5,3回京都10日目 ３歳 サラ３歳オープン,天気：晴 / 馬場：良 / 発走：14:50,2018/05/20(日),鳳雛Ｓ ,10,4,9.0,牡3,(栗東)中竹,0,1:53.9,534(+10)
ダ1800m (右),8,0,56.0,アタマ,テイエムディラン,9,田中健,14.7,6,3回京都10日目 ３歳 サラ３歳オープン,天気：晴 / 馬場：良 / 発走：14:50,2018/05/20(日),鳳雛Ｓ ,10,5,9.0,牡3,(栗東)木原,0,1:53.9,460(0)
ダ1800m (右),2,0,56.0,1/2,メイショウオーパス,2,幸,8.4,4,3回京都10日目 ３歳 サラ３歳オープン,天気：晴 / 馬場：良 / 発走：14:50,2018/05/20(日),鳳雛Ｓ ,10,6,9.0,牡3,(栗東)飯田祐,0,1:54.0,486(-4)
ダ1800m (右),4,0,56.0,1.1/4,アスクハードスパン,4,岩崎,38.0,7,3回京都10日目 ３歳 サラ３歳オープン,天気：晴 / 馬場：良 / 発走：14:50,2018/05/20(日),鳳雛Ｓ ,10,7,9.0,牡3,(栗東)河内,0,1:54.2,518(+6)
ダ1800m (右),6,0,56.0,1.1/4,ワークアンドラブ,6,古川,44.1,8,3回京都10日目 ３歳 サラ３歳オープン,天気：晴 / 馬場：良 / 発走：14:50,2018/05/20(日),鳳雛Ｓ ,10,8,9.0,牡3,(栗東)田所,0,1:54.4,458(-7)
ダ1800m (右),8,0,56.0,大,バーンフライ,8,坂井,124.7,9,3回京都10日目 ３歳 サラ３歳オープン,天気：晴 / 馬場：良 / 発走：14:50,2018/05/20(日),鳳雛Ｓ ,10,9,9.0,牡3,(栗東)矢作,0,1:57.5,484(0)
芝2000m (右),1,190,56.0,,○地マウントゴールド,1,浜中俊,3.8,2,3回京都10日目 ４歳上 サラ４歳上１６００万下,天気：晴 / 馬場：良 / 発走：15:30,2018/05/20(日),下鴨Ｓ,11,1,16.0,牡5,(栗東)池江,380,1:58.8,442(0)
芝2000m (右),2,490,54.0,ハナ,スズカルパン,4,幸,41.2,10,3回京都10日目 ４歳上 サラ４歳上１６００万下,天気：晴 / 馬場：良 / 発走：15:30,2018/05/20(日),下鴨Ｓ,11,2,16.0,牡9,(栗東)西橋,0,1:58.8,476(0)
芝2000m (右),3,180,57.0,3.1/2,ドレッドノータス,6,坂井,5.5,3,3回京都10日目 ４歳上 サラ４歳上１６００万下,天気：晴 / 馬場：良 / 発走：15:30,2018/05/20(日),下鴨Ｓ,11,3,16.0,セ5,(栗東)矢作,0,1:59.4,450(-4)
芝2000m (右),4,0,54.0,1.1/4,マイネルネーベル,8,国分恭,38.9,9,3回京都10日目 ４歳上 サラ４歳上１６００万下,天気：晴 / 馬場：良 / 発走：15:30,2018/05/20(日),下鴨Ｓ,11,4,16.0,牡6,(栗東)五十嵐,0,1:59.6,462(-2)
芝2000m (右),5,0,52.0,3/4,メイショウキトラ,9,畑端,255.9,16,3回京都10日目 ４歳上 サラ４歳上１６００万下,天気：晴 / 馬場：良 / 発走：15:30,2018/05/20(日),下鴨Ｓ,11,5,16.0,牡7,(栗東)牧浦,0,1:59.7,488(0)
芝2000m (右),2,0,53.0,1/2,クールオープニング,3,鮫島駿,127.6,13,3回京都10日目 ４歳上 サラ４歳上１６００万下,天気：晴 / 馬場：良 / 発走：15:30,2018/05/20(日),下鴨Ｓ,11,6,16.0,牡7,(栗東)橋口,0,1:59.8,460(-14)
芝2000m (右),6,0,54.0,アタマ,ユニゾンデライト,12,国分優,30.9,8,3回京都10日目 ４歳上 サラ４歳上１６００万下,天気：晴 / 馬場：良 / 発走：15:30,2018/05/20(日),下鴨Ｓ,11,7,16.0,牡5,(美浦)小島,0,1:59.8,488(-2)
芝2000m (右),3,0,55.0,クビ,アクート,5,藤岡佑,7.6,5,3回京都10日目 ４歳上 サラ４歳上１６００万下,天気：晴 / 馬場：良 / 発走：15:30,2018/05/20(日),下鴨Ｓ,11,8,16.0,牡5,(美浦)宗像,0,1:59.8,440(+4)
芝2000m (右),6,0,56.0,クビ,ケンホファヴァルト,11,松山,6.7,4,3回京都10日目 ４歳上 サラ４歳上１６００万下,天気：晴 / 馬場：良 / 発走：15:30,2018/05/20(日),下鴨Ｓ,11,9,16.0,牡5,(栗東)森,0,1:59.9,472(+8)
芝2000m (右),8,0,52.0,アタマ,メイショウコルノ,15,岩崎,187.5,14,3回京都10日目 ４歳上 サラ４歳上１６００万下,天気：晴 / 馬場：良 / 発走：15:30,2018/05/20(日),下鴨Ｓ,11,10,16.0,牡7,(栗東)河内,0,1:59.9,538(-10)
芝2000m (右),5,0,54.0,1.1/4,テーオービクトリー,10,四位,3.3,1,3回京都10日目 ４歳上 サラ４歳上１６００万下,天気：晴 / 馬場：良 / 発走：15:30,2018/05/20(日),下鴨Ｓ,11,11,16.0,牝4,(栗東)岡田,0,2:00.1,472(+2)
芝2000m (右),4,0,52.0,1.1/2,ダンツペンダント,7,古川,47.1,11,3回京都10日目 ４歳上 サラ４歳上１６００万下,天気：晴 / 馬場：良 / 発走：15:30,2018/05/20(日),下鴨Ｓ,11,12,16.0,牝5,(栗東)本田,0,2:00.3,512(-4)
芝2000m (右),7,0,54.0,1,ナリタエイト,14,池添,16.1,6,3回京都10日目 ４歳上 サラ４歳上１６００万下,天気：晴 / 馬場：良 / 発走：15:30,2018/05/20(日),下鴨Ｓ,11,13,16.0,牡5,(栗東)松永昌,0,2:00.5,464(-4)
芝2000m (右),8,0,51.0,7,アロンザモナ,16,高倉,201.0,15,3回京都10日目 ４歳上 サラ４歳上１６００万下,天気：晴 / 馬場：良 / 発走：15:30,2018/05/20(日),下鴨Ｓ,11,14,16.0,牝4,(栗東)西浦,0,2:01.7,470(-8)
