course_detail,frame,fukusho,futan,gap,horse,horse_num,jockey,odds,pop,race_category,race_condition,race_date,race_name,race_num,rank,run_count,sexage,stable,tansho,time,weight
芝2500m (右),1,160,55.0,,メイショウテッコン,1,武豊,4.9,3,3回中山1日目 ４歳上 サラ４歳上オープン,天気：曇 / 馬場：稍重 / 発走：15:45,2019/03/23(土),日経賞 ,11,1,12.0,牡4,(栗東)高橋忠,490,2:34.2,510(+2)
芝2500m (右),6,110,55.0,1.1/4,エタリオウ,7,Ｍデムーロ,2.1,1,3回中山1日目 ４歳上 サラ４歳上オープン,天気：曇 / 馬場：稍重 / 発走：15:45,2019/03/23(土),日経賞 ,11,2,12.0,牡4,(栗東)友道,0,2:34.4,466(-6)
芝2500m (右),4,180,56.0,1.1/4,○地サクラアンプルール,4,横山典,8.2,4,3回中山1日目 ４歳上 サラ４歳上オープン,天気：曇 / 馬場：稍重 / 発走：15:45,2019/03/23(土),日経賞 ,11,3,12.0,牡8,(美浦)金成,0,2:34.6,484(-4)
芝2500m (右),7,0,55.0,1.1/4,□地ハッピーグリン,10,服部茂,93.7,10,3回中山1日目 ４歳上 サラ４歳上オープン,天気：曇 / 馬場：稍重 / 発走：15:45,2019/03/23(土),日経賞 ,11,4,12.0,牡4,(地方)田中淳,0,2:34.8,458(-6)
芝2500m (右),2,0,56.0,クビ,ゴーフォザサミット,2,石橋脩,19.6,6,3回中山1日目 ４歳上 サラ４歳上オープン,天気：曇 / 馬場：稍重 / 発走：15:45,2019/03/23(土),日経賞 ,11,5,12.0,牡4,(美浦)藤沢和,0,2:34.9,512(+18)
芝2500m (右),5,0,56.0,1/2,ルックトゥワイス,6,戸崎圭,4.3,2,3回中山1日目 ４歳上 サラ４歳上オープン,天気：曇 / 馬場：稍重 / 発走：15:45,2019/03/23(土),日経賞 ,11,6,12.0,牡6,(栗東)藤原英,0,2:35.0,448(-2)
芝2500m (右),8,0,56.0,2,クリンチャー,12,三浦,13.9,5,3回中山1日目 ４歳上 サラ４歳上オープン,天気：曇 / 馬場：稍重 / 発走：15:45,2019/03/23(土),日経賞 ,11,7,12.0,牡5,(栗東)宮本,0,2:35.3,494(+4)
芝2500m (右),5,0,56.0,2,ブラックバゴ,5,池添,23.9,7,3回中山1日目 ４歳上 サラ４歳上オープン,天気：曇 / 馬場：稍重 / 発走：15:45,2019/03/23(土),日経賞 ,11,8,12.0,牡7,(美浦)斎藤誠,0,2:35.6,524(-4)
芝2500m (右),8,0,56.0,1,チェスナットコート,11,坂井,40.9,9,3回中山1日目 ４歳上 サラ４歳上オープン,天気：曇 / 馬場：稍重 / 発走：15:45,2019/03/23(土),日経賞 ,11,9,12.0,牡5,(栗東)矢作,0,2:35.8,468
芝2500m (右),7,0,56.0,1/2,カフェブリッツ,9,蛯名,35.6,8,3回中山1日目 ４歳上 サラ４歳上オープン,天気：曇 / 馬場：稍重 / 発走：15:45,2019/03/23(土),日経賞 ,11,10,12.0,牡6,(栗東)池江,0,2:35.9,538(-8)
