course_detail,frame,fukusho,futan,gap,horse,horse_num,jockey,odds,pop,race_category,race_condition,race_date,race_name,race_num,rank,run_count,sexage,stable,tansho,time,weight
芝1400m (右),4,240,54.0,,ウォーターブレイク,8,岡田,8.6,3,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:00,2019/04/21(日),３歳未勝利,3,1.0,18.0,牝3,(栗東)河内,860,1:21.1,456(+2)
芝1400m (右),3,470,54.0,クビ,ウェーブクリスタル,6,北村友,19.4,7,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:00,2019/04/21(日),３歳未勝利,3,2.0,18.0,牝3,(栗東)中尾,0,1:21.1,396(+8)
芝1400m (右),2,340,54.0,2.1/2,ロナ,4,藤岡佑,15.5,6,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:00,2019/04/21(日),３歳未勝利,3,3.0,18.0,牝3,(栗東)橋口,0,1:21.5,462(0)
芝1400m (右),1,0,51.0,1/2,グレイシャスギャル,2,▲岩田望,29.1,9,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:00,2019/04/21(日),３歳未勝利,3,4.0,18.0,牝3,(栗東)中内田,0,1:21.6,416(-6)
芝1400m (右),3,0,54.0,クビ,ルーナクオーレ,5,松山,29.3,10,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:00,2019/04/21(日),３歳未勝利,3,5.0,18.0,牝3,(栗東)大久保,0,1:21.6,406(-4)
芝1400m (右),1,0,54.0,クビ,ブールバール,1,ルメール,1.8,1,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:00,2019/04/21(日),３歳未勝利,3,6.0,18.0,牝3,(栗東)大久保,0,1:21.7,446(+16)
芝1400m (右),7,0,54.0,1.1/4,ガーデンガーデン,14,池添,43.2,11,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:00,2019/04/21(日),３歳未勝利,3,7.0,18.0,牝3,(栗東)武幸,0,1:21.9,454(-6)
芝1400m (右),4,0,53.0,1.1/4,レッドルーヴル,7,☆坂井,12.6,4,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:00,2019/04/21(日),３歳未勝利,3,8.0,18.0,牝3,(栗東)笹田,0,1:22.1,466(0)
芝1400m (右),5,0,54.0,クビ,ティレニア,9,浜中,5.9,2,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:00,2019/04/21(日),３歳未勝利,3,9.0,18.0,牝3,(栗東)高橋亮,0,1:22.1,438(+2)
芝1400m (右),2,0,54.0,1/2,キンショーダンサー,3,松若,99.0,12,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:00,2019/04/21(日),３歳未勝利,3,10.0,18.0,牝3,(栗東)長谷川,0,1:22.2,442(-6)
芝1400m (右),6,0,54.0,3/4,ヘヴンリーウインド,11,藤井勘,28.6,8,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:00,2019/04/21(日),３歳未勝利,3,11.0,18.0,牝3,(栗東)西園,0,1:22.3,454(+2)
芝1400m (右),7,0,54.0,1.3/4,カリマンタン,15,古川,647.6,18,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:00,2019/04/21(日),３歳未勝利,3,12.0,18.0,牝3,(栗東)木原,0,1:22.6,394(-16)
芝1400m (右),8,0,54.0,1.1/4,セレッソノワール,17,藤懸,573.2,16,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:00,2019/04/21(日),３歳未勝利,3,13.0,18.0,牝3,(栗東)飯田雄,0,1:22.8,418(+13)
芝1400m (右),6,0,54.0,3,キャルグリーン,12,シュタルケ,192.7,14,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:00,2019/04/21(日),３歳未勝利,3,14.0,18.0,牝3,(栗東)吉村,0,1:23.3,430(-6)
芝1400m (右),5,0,54.0,クビ,ツーエムベリンダ,10,酒井,598.3,17,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:00,2019/04/21(日),３歳未勝利,3,15.0,18.0,牝3,(栗東)池添兼,0,1:23.3,458(+14)
芝1400m (右),7,0,54.0,4,ワンダータビアット,13,荻野極,358.9,15,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:00,2019/04/21(日),３歳未勝利,3,16.0,18.0,牝3,(栗東)小崎,0,1:24.0,452(0)
芝1400m (右),8,0,54.0,大,ロイヤルシュライン,16,幸,189.7,13,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:00,2019/04/21(日),３歳未勝利,3,17.0,18.0,牝3,(栗東)宮,0,1:25.8,452(0)
芝1400m (右),8,0,54.0,中止,メイショウビジュー,18,武豊,12.8,5,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:00,2019/04/21(日),３歳未勝利,3,,18.0,牝3,(栗東)石橋,0,,446(+10)
芝1200m (右),3,190,54.0,,エピックガール,6,北村友,4.4,2,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:30,2019/04/21(日),３歳未勝利,4,1.0,18.0,牝3,(栗東)西浦,440,1:08.7,428(-4)
芝1200m (右),7,150,56.0,2.1/2,ペプチドルーカス,13,四位,3.5,1,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:30,2019/04/21(日),３歳未勝利,4,2.0,18.0,牡3,(栗東)木原,0,1:09.1,438(+2)
芝1200m (右),2,820,54.0,1.1/4,オウケンラブルナ,4,松田,42.9,11,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:30,2019/04/21(日),３歳未勝利,4,3.0,18.0,牝3,(栗東)安田翔,0,1:09.3,452(-6)
芝1200m (右),8,0,54.0,クビ,グレーフィンソニア,18,ルメール,8.6,5,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:30,2019/04/21(日),３歳未勝利,4,4.0,18.0,牝3,(栗東)本田,0,1:09.3,464(-10)
芝1200m (右),4,0,54.0,クビ,ケイティグレース,7,義,6.8,3,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:30,2019/04/21(日),３歳未勝利,4,5.0,18.0,牝3,(栗東)高橋康,0,1:09.4,432(+16)
芝1200m (右),5,0,54.0,3/4,ウインクルマリヒメ,9,福永,12.7,7,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:30,2019/04/21(日),３歳未勝利,4,6.0,18.0,牝3,(栗東)高橋亮,0,1:09.5,408(+6)
芝1200m (右),6,0,54.0,1/2,ジョーカリン,11,松山,20.3,8,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:30,2019/04/21(日),３歳未勝利,4,7.0,18.0,牝3,(栗東)中竹,0,1:09.6,400(0)
芝1200m (右),2,0,53.0,アタマ,アレーテス,3,☆坂井,31.1,9,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:30,2019/04/21(日),３歳未勝利,4,8.0,18.0,牝3,(栗東)笹田,0,1:09.6,438(-10)
芝1200m (右),1,0,54.0,1.1/4,ドゥオンフルール,2,松若,63.6,12,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:30,2019/04/21(日),３歳未勝利,4,9.0,18.0,牝3,(栗東)清水久,0,1:09.8,464(+4)
芝1200m (右),5,0,54.0,クビ,クールジェンヌ,10,藤懸貴志,10.3,6,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:30,2019/04/21(日),３歳未勝利,4,10.0,18.0,牝3,(栗東)鈴木孝,0,1:09.8,434(0)
芝1200m (右),6,0,54.0,3,ウイングアンナ,12,藤岡佑,77.7,13,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:30,2019/04/21(日),３歳未勝利,4,11.0,18.0,牝3,(栗東)牧田,0,1:10.3,434(-16)
芝1200m (右),8,0,56.0,クビ,ウインガナッシュ,17,高倉,327.4,18,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:30,2019/04/21(日),３歳未勝利,4,12.0,18.0,牡3,(栗東)西園,0,1:10.3,506(+2)
芝1200m (右),7,0,51.0,クビ,ナリタニケ,14,▲亀田,275.2,17,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:30,2019/04/21(日),３歳未勝利,4,13.0,18.0,牝3,(栗東)宮本,0,1:10.4,394(0)
芝1200m (右),8,0,56.0,クビ,ワンダーヘイルネス,16,武豊,8.1,4,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:30,2019/04/21(日),３歳未勝利,4,14.0,18.0,セ3,(栗東)河内,0,1:10.4,462(0)
芝1200m (右),3,0,54.0,3,ブレードフォルテ,5,荻野極,185.8,15,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:30,2019/04/21(日),３歳未勝利,4,15.0,18.0,牝3,(栗東)小崎,0,1:10.9,408(0)
芝1200m (右),7,0,56.0,4,マイネルカゲツ,15,シュタルケ,35.9,10,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:30,2019/04/21(日),３歳未勝利,4,16.0,18.0,牡3,(栗東)長谷川,0,1:11.6,454(+6)
芝1200m (右),1,0,54.0,クビ,メイショウチャリス,1,国分優,238.6,16,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:30,2019/04/21(日),３歳未勝利,4,17.0,18.0,牝3,(栗東)西橋,0,1:11.6,422(-14)
芝1200m (右),4,0,54.0,中止,ミンミンルフィーナ,8,水口,132.6,14,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:30,2019/04/21(日),３歳未勝利,4,,18.0,牝3,(栗東)大根田,0,,486(0)
芝1800m (右 外),5,110,56.0,,ヴィント,6,竹之下,2.5,2,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：12:20,2019/04/21(日),３歳未勝利,5,1.0,13.0,牡3,(栗東)千田,250,1:46.7,524(+2)
芝1800m (右 外),1,120,56.0,1.1/4,シャドウアロング,1,ルメール,2.5,1,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：12:20,2019/04/21(日),３歳未勝利,5,2.0,13.0,牡3,(栗東)藤原英,0,1:46.9,482(+2)
芝1800m (右 外),7,140,56.0,1.1/4,ミヤビパーフェクト,10,岡田,7.8,3,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：12:20,2019/04/21(日),３歳未勝利,5,3.0,13.0,セ3,(栗東)笹田,0,1:47.1,464(-2)
芝1800m (右 外),8,0,53.0,6,メリーバローズ,13,☆坂井,135.5,9,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：12:20,2019/04/21(日),３歳未勝利,5,4.0,13.0,牝3,(栗東)松下,0,1:48.1,474(-2)
芝1800m (右 外),8,0,54.0,1.1/2,ワンダーハルム,12,藤懸,90.7,8,3回京都2日目 ３歳 ,天気：晴 / 馬場：良 / 発走：12:20,2019/04/21(日),３歳未勝利,5,5.0,13.0,牝3,(栗東)渡辺,0,1:48.3,452(0)
