course_detail,frame,fukusho,futan,gap,horse,horse_num,jockey,odds,pop,race_category,race_condition,race_date,race_name,race_num,rank,run_count,sexage,stable,tansho,time,weight
障2970m (芝 ダート),6,110,58.0,,リングオブハピネス,6,佐久間,2.3,1,4回阪神9日目 障害３歳上 ,天気：晴 / 馬場：良 / 発走：11:20,2019/09/29(日),３歳以上障害未勝利,4,1,9.0,牝6,(栗東)奥村豊,230,3:22.5,494(+12)
障2970m (芝 ダート),5,130,60.0,1/2,メメニシコリ,5,西谷,3.7,2,4回阪神9日目 障害３歳上 ,天気：晴 / 馬場：良 / 発走：11:20,2019/09/29(日),３歳以上障害未勝利,4,2,9.0,牡6,(栗東)飯田雄,0,3:22.6,462(+2)
障2970m (芝 ダート),8,210,60.0,5,ファイアプルーフ,9,大江原,11.3,6,4回阪神9日目 障害３歳上 ,天気：晴 / 馬場：良 / 発走：11:20,2019/09/29(日),３歳以上障害未勝利,4,3,9.0,牡4,(美浦)根本,0,3:23.4,498(-4)
障2970m (芝 ダート),2,0,60.0,4,アイファーマグオー,2,植野,29.6,8,4回阪神9日目 障害３歳上 ,天気：晴 / 馬場：良 / 発走：11:20,2019/09/29(日),３歳以上障害未勝利,4,4,9.0,牡7,(栗東)服部,0,3:24.0,516(-8)
障2970m (芝 ダート),1,0,60.0,2,モルドレッド,1,草野,8.1,4,4回阪神9日目 障害３歳上 ,天気：晴 / 馬場：良 / 発走：11:20,2019/09/29(日),３歳以上障害未勝利,4,5,9.0,牡4,(美浦)久保田,0,3:24.3,482(-8)
障2970m (芝 ダート),4,0,58.0,4,○地シゲルアメジスト,4,上野,120.1,9,4回阪神9日目 障害３歳上 ,天気：晴 / 馬場：良 / 発走：11:20,2019/09/29(日),３歳以上障害未勝利,4,6,9.0,牡3,(美浦)石毛,0,3:25.0,462(-8)
障2970m (芝 ダート),7,0,60.0,3,メイショウグンパイ,7,森一,7.3,3,4回阪神9日目 障害３歳上 ,天気：晴 / 馬場：良 / 発走：11:20,2019/09/29(日),３歳以上障害未勝利,4,7,9.0,牡6,(栗東)南井,0,3:25.5,486(-4)
障2970m (芝 ダート),8,0,60.0,7,オースミベリル,8,熊沢,9.7,5,4回阪神9日目 障害３歳上 ,天気：晴 / 馬場：良 / 発走：11:20,2019/09/29(日),３歳以上障害未勝利,4,8,9.0,牡5,(栗東)荒川,0,3:26.7,492(+18)
障2970m (芝 ダート),3,0,56.0,大,ミチビキ,3,五十嵐,15.3,7,4回阪神9日目 障害３歳上 ,天気：晴 / 馬場：良 / 発走：11:20,2019/09/29(日),３歳以上障害未勝利,4,9,9.0,牝3,(美浦)蛯名,0,3:29.0,472(+2)
芝1600m (右 外),2,750,54.0,,インザムード,3,田中健,24.8,9,4回阪神9日目 ２歳 ,天気：晴 / 馬場：良 / 発走：12:10,2019/09/29(日),２歳新馬,5,1,18.0,牡2,(栗東)浅見,2480,1:34.9,464(0)
芝1600m (右 外),3,200,54.0,2.1/2,アヴェイル,6,和田,5.8,3,4回阪神9日目 ２歳 ,天気：晴 / 馬場：良 / 発走：12:10,2019/09/29(日),２歳新馬,5,2,18.0,牝2,(栗東)友道,0,1:35.3,452(0)
芝1600m (右 外),2,410,54.0,1/2,クリノヴィンセント,4,松田,17.6,7,4回阪神9日目 ２歳 ,天気：晴 / 馬場：良 / 発走：12:10,2019/09/29(日),２歳新馬,5,3,18.0,牡2,(栗東)渡辺,0,1:35.4,476(0)
芝1600m (右 外),4,0,54.0,3,ベストジーニスト,8,柴山,26.4,10,4回阪神9日目 ２歳 ,天気：晴 / 馬場：良 / 発走：12:10,2019/09/29(日),２歳新馬,5,4,18.0,牡2,(栗東)武幸,0,1:35.9,472(0)
芝1600m (右 外),7,0,54.0,3/4,バーグアンノール,13,松山,5.4,2,4回阪神9日目 ２歳 ,天気：晴 / 馬場：良 / 発走：12:10,2019/09/29(日),２歳新馬,5,5,18.0,牝2,(栗東)池江,0,1:36.0,424(0)
芝1600m (右 外),6,0,54.0,1/2,ガリレイ,12,太宰,18.3,8,4回阪神9日目 ２歳 ,天気：晴 / 馬場：良 / 発走：12:10,2019/09/29(日),２歳新馬,5,6,18.0,牡2,(栗東)高橋亮,0,1:36.1,504(0)
芝1600m (右 外),1,0,51.0,3/4,ハーランズハーツ,1,▲斎藤,28.7,11,4回阪神9日目 ２歳 ,天気：晴 / 馬場：良 / 発走：12:10,2019/09/29(日),２歳新馬,5,7,18.0,牡2,(栗東)橋口,0,1:36.2,434(0)
芝1600m (右 外),5,0,53.0,1.1/4,レペット,9,☆横山武,92.6,15,4回阪神9日目 ２歳 ,天気：晴 / 馬場：良 / 発走：12:10,2019/09/29(日),２歳新馬,5,8,18.0,牝2,(栗東)安田翔,0,1:36.4,436(0)
芝1600m (右 外),7,0,54.0,ハナ,エルスネル,14,荻野極,4.7,1,4回阪神9日目 ２歳 ,天気：晴 / 馬場：良 / 発走：12:10,2019/09/29(日),２歳新馬,5,9,18.0,牡2,(栗東)西園,0,1:36.4,432(0)
芝1600m (右 外),1,0,54.0,アタマ,レガーメペスカ,2,藤井勘,7.8,4,4回阪神9日目 ２歳 ,天気：晴 / 馬場：良 / 発走：12:10,2019/09/29(日),２歳新馬,5,10,18.0,牡2,(栗東)松永昌,0,1:36.4,484(0)
