course_detail,frame,fukusho,futan,gap,horse,horse_num,jockey,odds,pop,race_category,race_condition,race_date,race_name,race_num,rank,run_count,sexage,stable,tansho,time,weight
芝2200m (右),7,190,56.0,,キタノコマンドール,7,福永,4.7,3,1回阪神2日目 ３歳 サラ３歳オープン,天気：曇 / 馬場：良 / 発走：14:25,2018/02/25(日),すみれＳ ,9,1,8.0,牡3,(栗東)池江,470,2:11.7,490(-4)
芝2200m (右),5,170,57.0,3/4,ケイティクレバー,5,小林,3.4,2,1回阪神2日目 ３歳 サラ３歳オープン,天気：曇 / 馬場：良 / 発走：14:25,2018/02/25(日),すみれＳ ,9,2,8.0,牡3,(栗東)目野,0,2:11.8,446(+2)
芝2200m (右),3,490,56.0,1.1/4,ビッグスモーキー,3,浜中,19.5,6,1回阪神2日目 ３歳 サラ３歳オープン,天気：曇 / 馬場：良 / 発走：14:25,2018/02/25(日),すみれＳ ,9,3,8.0,牡3,(栗東)清水久,0,2:12.0,524(+1)
芝2200m (右),1,0,56.0,1.1/4,スズカテイオー,1,川田,8.3,4,1回阪神2日目 ３歳 サラ３歳オープン,天気：曇 / 馬場：良 / 発走：14:25,2018/02/25(日),すみれＳ ,9,4,8.0,牡3,(栗東)橋田,0,2:12.2,504(-4)
芝2200m (右),2,0,56.0,2,コズミックフォース,2,ルメール,2.1,1,1回阪神2日目 ３歳 サラ３歳オープン,天気：曇 / 馬場：良 / 発走：14:25,2018/02/25(日),すみれＳ ,9,5,8.0,牡3,(美浦)国枝,0,2:12.5,464(-12)
芝2200m (右),4,0,54.0,2,シスターフラッグ,4,岩田,30.6,7,1回阪神2日目 ３歳 サラ３歳オープン,天気：曇 / 馬場：良 / 発走：14:25,2018/02/25(日),すみれＳ ,9,6,8.0,牝3,(栗東)西村,0,2:12.8,490(-2)
芝2200m (右),8,0,56.0,4,シエラネバダ,8,和田,14.2,5,1回阪神2日目 ３歳 サラ３歳オープン,天気：曇 / 馬場：良 / 発走：14:25,2018/02/25(日),すみれＳ ,9,7,8.0,牡3,(栗東)音無,0,2:13.5,512(+10)
芝2200m (右),6,0,56.0,1/2,タガノスカイハイ,6,幸,74.8,8,1回阪神2日目 ３歳 サラ３歳オープン,天気：曇 / 馬場：良 / 発走：14:25,2018/02/25(日),すみれＳ ,9,8,8.0,牡3,(栗東)角田,0,2:13.6,476(+12)
ダ1800m (右),7,270,57.0,,ザイディックメア,13,和田,10.6,4,1回阪神2日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：良 / 発走：15:01,2018/02/25(日),伊丹Ｓ,10,1,16.0,牡6,(栗東)村山,1060,1:52.7,474(-6)
ダ1800m (右),1,130,55.0,1/2,クリノリトミシュル,2,ルメール,2.6,1,1回阪神2日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：良 / 発走：15:01,2018/02/25(日),伊丹Ｓ,10,2,16.0,牝5,(栗東)渡辺,0,1:52.8,498(+2)
ダ1800m (右),6,420,57.0,3/4,ウインユニファイド,12,松山,27.5,7,1回阪神2日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：良 / 発走：15:01,2018/02/25(日),伊丹Ｓ,10,3,16.0,牡6,(栗東)飯田雄,0,1:52.9,522(+4)
ダ1800m (右),4,0,56.0,クビ,ホーリーブレイズ,8,幸,10.9,5,1回阪神2日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：良 / 発走：15:01,2018/02/25(日),伊丹Ｓ,10,4,16.0,牡4,(栗東)佐藤正,0,1:52.9,462(0)
ダ1800m (右),3,0,57.0,クビ,ティーポイズン,5,浜中,100.7,12,1回阪神2日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：良 / 発走：15:01,2018/02/25(日),伊丹Ｓ,10,5,16.0,牡7,(栗東)五十嵐,0,1:53.0,516(+8)
ダ1800m (右),5,0,57.0,アタマ,ベルウッドテラス,9,加藤,491.3,16,1回阪神2日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：良 / 発走：15:01,2018/02/25(日),伊丹Ｓ,10,6,16.0,セ8,(美浦)二ノ宮,0,1:53.0,490(-8)
ダ1800m (右),4,0,57.0,1.1/2,メガオパールカフェ,7,武豊,63.0,11,1回阪神2日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：良 / 発走：15:01,2018/02/25(日),伊丹Ｓ,10,7,16.0,牡7,(美浦)小島太,0,1:53.2,538(-6)
ダ1800m (右),8,0,57.0,1.1/4,ジュンスパーヒカル,15,岩田,5.0,3,1回阪神2日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：良 / 発走：15:01,2018/02/25(日),伊丹Ｓ,10,8,16.0,牡6,(栗東)友道,0,1:53.4,476(-2)
ダ1800m (右),6,0,55.0,クビ,ヴァローア,11,四位,29.5,8,1回阪神2日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：良 / 発走：15:01,2018/02/25(日),伊丹Ｓ,10,9,16.0,牝6,(栗東)奥村豊,0,1:53.4,472(-2)
ダ1800m (右),2,0,57.0,クビ,サンライズウィズ,4,荻野極,115.6,13,1回阪神2日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：良 / 発走：15:01,2018/02/25(日),伊丹Ｓ,10,10,16.0,牡5,(栗東)河内,0,1:53.5,500(+2)
ダ1800m (右),2,0,54.0,アタマ,タガノヴェローナ,3,国分恭,56.7,10,1回阪神2日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：良 / 発走：15:01,2018/02/25(日),伊丹Ｓ,10,11,16.0,牝4,(栗東)中村,0,1:53.5,472(+4)
ダ1800m (右),5,0,56.0,3/4,フォギーナイト,10,川田,3.7,2,1回阪神2日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：良 / 発走：15:01,2018/02/25(日),伊丹Ｓ,10,12,16.0,牡4,(美浦)堀,0,1:53.6,484(+2)
ダ1800m (右),3,0,57.0,1.3/4,パワーポケット,6,太宰,44.4,9,1回阪神2日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：良 / 発走：15:01,2018/02/25(日),伊丹Ｓ,10,13,16.0,牡6,(美浦)二ノ宮,0,1:53.9,538(-14)
ダ1800m (右),1,0,57.0,3.1/2,オルナ,1,福永,16.8,6,1回阪神2日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：良 / 発走：15:01,2018/02/25(日),伊丹Ｓ,10,14,16.0,牡6,(栗東)岡田,0,1:54.5,518(+2)
ダ1800m (右),7,0,57.0,1.1/4,ミキノグランプリ,14,田中健,281.4,15,1回阪神2日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：良 / 発走：15:01,2018/02/25(日),伊丹Ｓ,10,15,16.0,牡7,(栗東)南井,0,1:54.7,476(-10)
ダ1800m (右),8,0,55.0,3/4,ジュエルメーカー,16,国分優,174.9,14,1回阪神2日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：良 / 発走：15:01,2018/02/25(日),伊丹Ｓ,10,16,16.0,牝6,(栗東)千田,0,1:54.8,514(+4)
芝1400m (右),7,480,54.0,,ダイアナヘイロー,13,武豊,16.8,7,1回阪神2日目 ４歳上 サラ４歳上オープン,天気：曇 / 馬場：良 / 発走：15:35,2018/02/25(日),阪急杯 ,11,1,18.0,牝5,(栗東)福島,1680,1:20.1,470(-8)
芝1400m (右),8,130,56.0,クビ,○外モズアスコット,17,ルメール,2.6,1,1回阪神2日目 ４歳上 サラ４歳上オープン,天気：曇 / 馬場：良 / 発走：15:35,2018/02/25(日),阪急杯 ,11,2,18.0,牡4,(栗東)矢作,0,1:20.1,488(+2)
芝1400m (右),3,150,58.0,ハナ,レッドファルクス,6,川田,3.8,2,1回阪神2日目 ４歳上 サラ４歳上オープン,天気：曇 / 馬場：良 / 発走：15:35,2018/02/25(日),阪急杯 ,11,3,18.0,牡7,(美浦)尾関,0,1:20.1,478(+6)
芝1400m (右),1,0,56.0,クビ,ニシノラッシュ,1,幸,31.3,11,1回阪神2日目 ４歳上 サラ４歳上オープン,天気：曇 / 馬場：良 / 発走：15:35,2018/02/25(日),阪急杯 ,11,4,18.0,牡6,(栗東)宮本,0,1:20.2,504(+2)
芝1400m (右),2,0,54.0,クビ,ペイシャフェリシタ,4,松田,27.0,10,1回阪神2日目 ４歳上 サラ４歳上オープン,天気：曇 / 馬場：良 / 発走：15:35,2018/02/25(日),阪急杯 ,11,5,18.0,牝5,(美浦)高木,0,1:20.2,488(-2)
芝1400m (右),1,0,56.0,クビ,シュウジ,2,福永,12.2,5,1回阪神2日目 ４歳上 サラ４歳上オープン,天気：曇 / 馬場：良 / 発走：15:35,2018/02/25(日),阪急杯 ,11,6,18.0,牡5,(栗東)須貝,0,1:20.3,502(-2)
芝1400m (右),5,0,56.0,ハナ,マイネルバールマン,9,和田,204.2,14,1回阪神2日目 ４歳上 サラ４歳上オープン,天気：曇 / 馬場：良 / 発走：15:35,2018/02/25(日),阪急杯 ,11,7,18.0,牡4,(美浦)栗田博,0,1:20.3,528(+14)
芝1400m (右),6,0,56.0,ハナ,ディバインコード,12,岩田,12.0,4,1回阪神2日目 ４歳上 サラ４歳上オープン,天気：曇 / 馬場：良 / 発走：15:35,2018/02/25(日),阪急杯 ,11,8,18.0,牡4,(美浦)栗田博,0,1:20.3,502(0)
芝1400m (右),8,0,56.0,3/4,タイムトリップ,18,加藤,325.9,15,1回阪神2日目 ４歳上 サラ４歳上オープン,天気：曇 / 馬場：良 / 発走：15:35,2018/02/25(日),阪急杯 ,11,9,18.0,牡4,(美浦)菊川,0,1:20.4,506(+30)
芝1400m (右),5,0,56.0,クビ,ユキノアイオロス,10,川島,377.0,17,1回阪神2日目 ４歳上 サラ４歳上オープン,天気：曇 / 馬場：良 / 発走：15:35,2018/02/25(日),阪急杯 ,11,10,18.0,セ10,(美浦)和田道,0,1:20.5,488(-4)
芝1400m (右),3,0,56.0,ハナ,コスモドーム,5,国分恭,375.0,16,1回阪神2日目 ４歳上 サラ４歳上オープン,天気：曇 / 馬場：良 / 発走：15:35,2018/02/25(日),阪急杯 ,11,11,18.0,牡7,(美浦)金成,0,1:20.5,516(-6)
芝1400m (右),8,0,56.0,クビ,アポロノシンザン,16,津村,18.4,8,1回阪神2日目 ４歳上 サラ４歳上オープン,天気：曇 / 馬場：良 / 発走：15:35,2018/02/25(日),阪急杯 ,11,12,18.0,牡6,(美浦)鈴木伸,0,1:20.5,486(+2)
芝1400m (右),4,0,56.0,クビ,ムーンクレスト,7,荻野極,57.5,12,1回阪神2日目 ４歳上 サラ４歳上オープン,天気：曇 / 馬場：良 / 発走：15:35,2018/02/25(日),阪急杯 ,11,13,18.0,牡6,(栗東)本田,0,1:20.6,478(-2)
芝1400m (右),2,0,56.0,ハナ,ミッキーラブソング,3,松山,58.7,13,1回阪神2日目 ４歳上 サラ４歳上オープン,天気：曇 / 馬場：良 / 発走：15:35,2018/02/25(日),阪急杯 ,11,14,18.0,牡7,(栗東)橋口,0,1:20.6,464(-2)
芝1400m (右),7,0,54.0,3/4,カラクレナイ,15,池添,8.9,3,1回阪神2日目 ４歳上 サラ４歳上オープン,天気：曇 / 馬場：良 / 発走：15:35,2018/02/25(日),阪急杯 ,11,15,18.0,牝4,(栗東)松下,0,1:20.7,498(0)
