course_detail,frame,fukusho,futan,gap,horse,horse_num,jockey,odds,pop,race_category,race_condition,race_date,race_name,race_num,rank,run_count,sexage,stable,tansho,time,weight
ダ1800m (右),3,110,56.0,,ノーウェイ,5,川田,1.6,1,5回阪神5日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：14:01,2018/12/15(土),３歳上５００万下,8,1,15.0,牡3,(栗東)高橋忠,160,1:52.2,476(+2)
ダ1800m (右),3,180,56.0,3.1/2,グーテンターク,4,和田,11.3,5,5回阪神5日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：14:01,2018/12/15(土),３歳上５００万下,8,2,15.0,牡3,(栗東)石坂正,0,1:52.8,498(+8)
ダ1800m (右),2,120,57.0,ハナ,サザンブリーズ,3,岩田,4.2,2,5回阪神5日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：14:01,2018/12/15(土),３歳上５００万下,8,3,15.0,牡4,(栗東)橋口,0,1:52.8,516(-6)
ダ1800m (右),6,0,56.0,4,ダノンロイヤル,11,松若,8.7,3,5回阪神5日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：14:01,2018/12/15(土),３歳上５００万下,8,4,15.0,牡3,(栗東)千田,0,1:53.5,532(-4)
ダ1800m (右),2,0,56.0,2.1/2,メイショウバルコラ,2,古川,62.9,9,5回阪神5日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：14:01,2018/12/15(土),３歳上５００万下,8,5,15.0,牡3,(栗東)藤沢則,0,1:53.9,514(+2)
ダ1800m (右),1,0,54.0,1.1/4,ロードザナドゥ,1,△森裕,117.5,11,5回阪神5日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：14:01,2018/12/15(土),３歳上５００万下,8,6,15.0,牡3,(栗東)橋田,0,1:54.1,478(-2)
ダ1800m (右),5,0,55.0,1.3/4,ハギノフロンティア,8,☆坂井,56.6,7,5回阪神5日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：14:01,2018/12/15(土),３歳上５００万下,8,7,15.0,牡3,(栗東)松田,0,1:54.4,520(-2)
ダ1800m (右),7,0,56.0,アタマ,アルマトップエンド,12,酒井,44.1,6,5回阪神5日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：14:01,2018/12/15(土),３歳上５００万下,8,8,15.0,牡3,(栗東)佐々木,0,1:54.4,490(-2)
ダ1800m (右),6,0,56.0,1.1/4,スーサンドン,10,藤岡佑,56.9,8,5回阪神5日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：14:01,2018/12/15(土),３歳上５００万下,8,9,15.0,牡3,(栗東)安田翔,0,1:54.6,482(0)
ダ1800m (右),4,0,56.0,1,ジャックビーンズ,7,国分優,493.6,15,5回阪神5日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：14:01,2018/12/15(土),３歳上５００万下,8,10,15.0,牡3,(栗東)松下,0,1:54.8,472(+2)
ダ1800m (右),8,0,57.0,クビ,○地ジークグランツ,14,国分恭,261.2,13,5回阪神5日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：14:01,2018/12/15(土),３歳上５００万下,8,11,15.0,牡4,(栗東)野中,0,1:54.8,460(-10)
ダ1800m (右),8,0,57.0,1/2,○地オリエンタルポリス,15,小牧,294.4,14,5回阪神5日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：14:01,2018/12/15(土),３歳上５００万下,8,12,15.0,牡5,(栗東)服部,0,1:54.9,494(+2)
ダ1800m (右),5,0,57.0,4,オースミベリル,9,熊沢,245.1,12,5回阪神5日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：14:01,2018/12/15(土),３歳上５００万下,8,13,15.0,牡4,(栗東)荒川,0,1:55.6,480(+2)
ダ1800m (右),4,0,54.0,クビ,ニホンピロボーラー,6,▲三津谷,87.3,10,5回阪神5日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：14:01,2018/12/15(土),３歳上５００万下,8,14,15.0,牡5,(栗東)田所,0,1:55.6,514(+6)
ダ1800m (右),7,0,56.0,アタマ,ムーンレイカー,13,浜中,8.7,4,5回阪神5日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：14:01,2018/12/15(土),３歳上５００万下,8,15,15.0,牡3,(栗東)池添兼,0,1:55.6,470(+4)
芝1200m (右),2,210,54.0,,イベリス,2,浜中,5.2,2,5回阪神5日目 ２歳 サラ２歳５００万下,天気：晴 / 馬場：良 / 発走：14:35,2018/12/15(土),さざんか賞,9,1,13.0,牝2,(栗東)角田,520,1:09.0,454(0)
芝1200m (右),7,270,54.0,3,エイティーンガール,11,武豊,7.9,4,5回阪神5日目 ２歳 サラ２歳５００万下,天気：晴 / 馬場：良 / 発走：14:35,2018/12/15(土),さざんか賞,9,2,13.0,牝2,(栗東)飯田祐,0,1:09.5,438(+8)
芝1200m (右),6,310,54.0,クビ,○地ピュアドリーマー,8,岩田,12.8,6,5回阪神5日目 ２歳 サラ２歳５００万下,天気：晴 / 馬場：良 / 発走：14:35,2018/12/15(土),さざんか賞,9,3,13.0,牝2,(栗東)高柳大,0,1:09.5,446(-6)
芝1200m (右),3,0,54.0,1/2,ラミエル,3,坂井,8.7,5,5回阪神5日目 ２歳 サラ２歳５００万下,天気：晴 / 馬場：良 / 発走：14:35,2018/12/15(土),さざんか賞,9,4,13.0,牝2,(栗東)橋口,0,1:09.6,434(-4)
芝1200m (右),4,0,54.0,1.3/4,ブリングイットオン,4,国分恭,23.4,9,5回阪神5日目 ２歳 サラ２歳５００万下,天気：晴 / 馬場：良 / 発走：14:35,2018/12/15(土),さざんか賞,9,5,13.0,牝2,(栗東)宮,0,1:09.9,428(+10)
芝1200m (右),6,0,55.0,1.1/4,タガノジェロディ,9,岡田,23.5,10,5回阪神5日目 ２歳 サラ２歳５００万下,天気：晴 / 馬場：良 / 発走：14:35,2018/12/15(土),さざんか賞,9,6,13.0,牡2,(栗東)浅見,0,1:10.1,470(+8)
芝1200m (右),8,0,54.0,1/2,エスト,12,川田,3.4,1,5回阪神5日目 ２歳 サラ２歳５００万下,天気：晴 / 馬場：良 / 発走：14:35,2018/12/15(土),さざんか賞,9,7,13.0,牝2,(栗東)安田隆,0,1:10.2,464(-8)
芝1200m (右),5,0,55.0,アタマ,ラブリロンリロンス,6,藤懸,213.4,12,5回阪神5日目 ２歳 サラ２歳５００万下,天気：晴 / 馬場：良 / 発走：14:35,2018/12/15(土),さざんか賞,9,8,13.0,牡2,(栗東)松永昌,0,1:10.2,438(+18)
