course_detail,frame,fukusho,futan,gap,horse,horse_num,jockey,odds,pop,race_category,race_condition,race_date,race_name,race_num,rank,run_count,sexage,stable,tansho,time,weight
芝1800m (右 外),8,110,54.0,,ドミナートゥス,8,川田,1.4,1,3回阪神3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:10,2018/06/09(土),３歳上５００万下,12,1,9.0,牡3,(栗東)宮本,140,1:46.7,478(-10)
芝1800m (右 外),2,140,57.0,3/4,ジョーアラビカ,2,松山,5.4,2,3回阪神3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:10,2018/06/09(土),３歳上５００万下,12,2,9.0,牡4,(栗東)沖,0,1:46.8,502(-8)
芝1800m (右 外),6,800,57.0,3,○地サンライズサーカス,6,岩崎,66.1,9,3回阪神3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:10,2018/06/09(土),３歳上５００万下,12,3,9.0,牡5,(栗東)河内,0,1:47.3,520(-4)
芝1800m (右 外),1,0,52.0,3/4,サトノガーネット,1,川島,6.4,3,3回阪神3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:10,2018/06/09(土),３歳上５００万下,12,4,9.0,牝3,(栗東)矢作,0,1:47.4,416(-8)
芝1800m (右 外),5,0,52.0,2,シャフトオブライト,5,△富田,17.5,5,3回阪神3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:10,2018/06/09(土),３歳上５００万下,12,5,9.0,牡3,(栗東)北出,0,1:47.7,446(-6)
芝1800m (右 外),7,0,57.0,3/4,キャノンストーム,7,鮫島駿,37.8,7,3回阪神3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:10,2018/06/09(土),３歳上５００万下,12,6,9.0,牡5,(栗東)笹田,0,1:47.8,502(-2)
芝1800m (右 外),3,0,52.0,5,ダンツセイケイ,3,△川又,61.4,8,3回阪神3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:10,2018/06/09(土),３歳上５００万下,12,7,9.0,牡3,(栗東)山内,0,1:48.7,472(-6)
芝1800m (右 外),8,0,54.0,1/2,ナムラアッパレ,9,秋山,17.8,6,3回阪神3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:10,2018/06/09(土),３歳上５００万下,12,8,9.0,牡3,(栗東)高野,0,1:48.8,462(-4)
芝1800m (右 外),4,0,57.0,3.1/2,ナムラシンウチ,4,松若,17.1,4,3回阪神3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:10,2018/06/09(土),３歳上５００万下,12,9,9.0,牡4,(栗東)杉山,0,1:49.4,512(-4)
ダ1400m (右),2,110,54.0,,ダイメイギンガ,3,Ｍデムーロ,2.1,1,3回阪神4日目 ３歳 ,天気：曇 / 馬場：稍重 / 発走：09:55,2018/06/10(日),３歳未勝利,1,1,16.0,牝3,(栗東)森田,210,1:26.1,460(0)
