course_detail,frame,fukusho,futan,gap,horse,horse_num,jockey,odds,pop,race_category,race_condition,race_date,race_name,race_num,rank,run_count,sexage,stable,tansho,time,weight
ダ1300m (左),2,260,54.0,,ニシノコトダマ,3,石川,8.3,4.0,3回東京3日目 ３歳上 ,天気：曇 / 馬場：重 / 発走：16:25,2019/06/08(土),３歳以上１勝クラス,12,1.0,16.0,牡3,(美浦)手塚,830,1:16.6,504(-4)
ダ1300m (左),7,400,57.0,クビ,プタハ,13,内田博,12.1,6.0,3回東京3日目 ３歳上 ,天気：曇 / 馬場：重 / 発走：16:25,2019/06/08(土),３歳以上１勝クラス,12,2.0,16.0,牡4,(美浦)斎藤誠,0,1:16.6,528(+2)
ダ1300m (左),8,240,52.0,2.1/2,コウユークロガヨカ,15,△野中,7.4,3.0,3回東京3日目 ３歳上 ,天気：曇 / 馬場：重 / 発走：16:25,2019/06/08(土),３歳以上１勝クラス,12,3.0,16.0,牡3,(美浦)竹内,0,1:17.0,470(+2)
ダ1300m (左),6,0,57.0,クビ,○地スズノフブキ,12,武士沢,17.2,7.0,3回東京3日目 ３歳上 ,天気：曇 / 馬場：重 / 発走：16:25,2019/06/08(土),３歳以上１勝クラス,12,4.0,16.0,セ5,(美浦)高橋裕,0,1:17.0,478(0)
ダ1300m (左),4,0,49.0,1.1/2,○外リトルモンスター,7,▲藤田菜,5.9,2.0,3回東京3日目 ３歳上 ,天気：曇 / 馬場：重 / 発走：16:25,2019/06/08(土),３歳以上１勝クラス,12,5.0,16.0,牝3,(美浦)武井,0,1:17.3,472(-4)
ダ1300m (左),3,0,56.0,1.1/4,セイウンデルレイ,5,☆武藤,87.6,11.0,3回東京3日目 ３歳上 ,天気：曇 / 馬場：重 / 発走：16:25,2019/06/08(土),３歳以上１勝クラス,12,6.0,16.0,牡4,(美浦)深山,0,1:17.5,494(-6)
ダ1300m (左),5,0,55.0,2,カシマフウリン,10,嘉藤,79.6,10.0,3回東京3日目 ３歳上 ,天気：曇 / 馬場：重 / 発走：16:25,2019/06/08(土),３歳以上１勝クラス,12,7.0,16.0,牝4,(美浦)加藤士,0,1:17.8,484(-2)
ダ1300m (左),3,0,54.0,1/2,ピオレドール,6,▲菅原明,218.6,13.0,3回東京3日目 ３歳上 ,天気：曇 / 馬場：重 / 発走：16:25,2019/06/08(土),３歳以上１勝クラス,12,8.0,16.0,牡4,(美浦)小笠,0,1:17.9,462(-6)
ダ1300m (左),7,0,53.0,ハナ,アシャカマキシン,14,☆横山武,2.0,1.0,3回東京3日目 ３歳上 ,天気：曇 / 馬場：重 / 発走：16:25,2019/06/08(土),３歳以上１勝クラス,12,9.0,16.0,牡3,(美浦)鈴木伸,0,1:17.9,482(-6)
ダ1300m (左),6,0,56.0,クビ,○地ララロワ,11,☆木幡巧,22.1,8.0,3回東京3日目 ３歳上 ,天気：曇 / 馬場：重 / 発走：16:25,2019/06/08(土),３歳以上１勝クラス,12,10.0,16.0,セ4,(美浦)岩戸,0,1:17.9,496(-4)
ダ1300m (左),2,0,55.0,1,○地モードザナゲット,4,宮崎,299.1,15.0,3回東京3日目 ３歳上 ,天気：曇 / 馬場：重 / 発走：16:25,2019/06/08(土),３歳以上１勝クラス,12,11.0,16.0,牝5,(美浦)高橋裕,0,1:18.1,516(-2)
ダ1300m (左),5,0,57.0,9,○地ハービーボンズ,9,田辺,66.1,9.0,3回東京3日目 ３歳上 ,天気：曇 / 馬場：重 / 発走：16:25,2019/06/08(土),３歳以上１勝クラス,12,12.0,16.0,セ4,(美浦)中川,0,1:19.6,428(+6)
ダ1300m (左),1,0,55.0,4,○地キスオンザグリーン,2,柴田大,227.4,14.0,3回東京3日目 ３歳上 ,天気：曇 / 馬場：重 / 発走：16:25,2019/06/08(土),３歳以上１勝クラス,12,13.0,16.0,牝4,(美浦)伊藤大,0,1:20.3,436(+6)
ダ1300m (左),8,0,56.0,クビ,セグレートシチー,16,☆菊沢,103.7,12.0,3回東京3日目 ３歳上 ,天気：曇 / 馬場：重 / 発走：16:25,2019/06/08(土),３歳以上１勝クラス,12,14.0,16.0,牡4,(美浦)伊藤圭,0,1:20.4,518(+6)
ダ1300m (左),4,0,57.0,3/4,グラドゥアーレ,8,丸山,10.0,5.0,3回東京3日目 ３歳上 ,天気：曇 / 馬場：重 / 発走：16:25,2019/06/08(土),３歳以上１勝クラス,12,15.0,16.0,牡5,(美浦)小西,0,1:20.5,478(-6)
ダ1300m (左),1,0,57.0,除外,デュアルマンデート,1,戸崎圭,,,3回東京3日目 ３歳上 ,天気：曇 / 馬場：重 / 発走：16:25,2019/06/08(土),３歳以上１勝クラス,12,,16.0,牡4,(美浦)萩原,0,,520(+4)
ダ1300m (左),1,260,54.0,,アテンフェアリー,2,岩部,13.6,6.0,3回東京4日目 ３歳 ,天気：曇 / 馬場：重 / 発走：10:10,2019/06/09(日),３歳未勝利,1,1.0,16.0,牝3,(美浦)萱野,1360,1:18.3,464(+8)
