course_detail,frame,fukusho,futan,gap,horse,horse_num,jockey,odds,pop,race_category,race_condition,race_date,race_name,race_num,rank,run_count,sexage,stable,tansho,time,weight
ダ1200m (右),2,360,54.0,,ヤマニンアンプリメ,2,鮫島良,9.6,3.0,1回京都7日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：稍重 / 発走：15:01,2018/01/21(日),山科Ｓ,10,1.0,14.0,牝4,(栗東)中村,960,1:12.3,480(+8)
ダ1200m (右),5,870,55.0,3/4,ラズールリッキー,8,松田,27.4,10.0,1回京都7日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：稍重 / 発走：15:01,2018/01/21(日),山科Ｓ,10,2.0,14.0,牝5,(美浦)武井,0,1:12.4,464(+12)
ダ1200m (右),5,490,57.0,1.1/2,タガノヴィッター,7,岩崎,16.7,6.0,1回京都7日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：稍重 / 発走：15:01,2018/01/21(日),山科Ｓ,10,3.0,14.0,牡5,(栗東)牧浦,0,1:12.6,520(+2)
ダ1200m (右),4,0,56.0,1/2,ビックリシタナモー,6,幸,19.0,7.0,1回京都7日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：稍重 / 発走：15:01,2018/01/21(日),山科Ｓ,10,4.0,14.0,牡4,(栗東)音無,0,1:12.7,518(+2)
ダ1200m (右),8,0,54.0,クビ,アシャカダイキ,13,藤岡佑,10.9,5.0,1回京都7日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：稍重 / 発走：15:01,2018/01/21(日),山科Ｓ,10,5.0,14.0,牝4,(美浦)鈴木伸,0,1:12.7,486(-8)
ダ1200m (右),3,0,55.0,1/2,オウケンビリーヴ,4,福永,1.8,1.0,1回京都7日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：稍重 / 発走：15:01,2018/01/21(日),山科Ｓ,10,6.0,14.0,牝5,(栗東)安田隆,0,1:12.8,496(+6)
ダ1200m (右),8,0,57.0,1,サーティグランド,14,水口,19.1,8.0,1回京都7日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：稍重 / 発走：15:01,2018/01/21(日),山科Ｓ,10,7.0,14.0,牡6,(栗東)崎山,0,1:13.0,510(0)
ダ1200m (右),3,0,57.0,1/2,メイショウワダイコ,3,荻野極,10.3,4.0,1回京都7日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：稍重 / 発走：15:01,2018/01/21(日),山科Ｓ,10,8.0,14.0,牡6,(栗東)池添兼,0,1:13.1,540(0)
ダ1200m (右),1,0,55.0,クビ,グラッブユアコート,1,浜中,6.5,2.0,1回京都7日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：稍重 / 発走：15:01,2018/01/21(日),山科Ｓ,10,9.0,14.0,牝6,(栗東)千田,0,1:13.2,468(+2)
ダ1200m (右),6,0,57.0,1.1/4,ライドオンウインド,9,四位,24.9,9.0,1回京都7日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：稍重 / 発走：15:01,2018/01/21(日),山科Ｓ,10,10.0,14.0,牡6,(栗東)木原,0,1:13.4,502(-2)
ダ1200m (右),7,0,57.0,クビ,ヒカリマサムネ,11,国分恭,131.7,12.0,1回京都7日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：稍重 / 発走：15:01,2018/01/21(日),山科Ｓ,10,11.0,14.0,牡8,(美浦)池上弘,0,1:13.4,468(-6)
ダ1200m (右),7,0,55.0,3/4,パイメイメイ,12,加藤,42.3,11.0,1回京都7日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：稍重 / 発走：15:01,2018/01/21(日),山科Ｓ,10,12.0,14.0,牝7,(美浦)鈴木伸,0,1:13.5,496(-10)
ダ1200m (右),4,0,57.0,7,ジャコカッテ,5,田中健,220.0,13.0,1回京都7日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：稍重 / 発走：15:01,2018/01/21(日),山科Ｓ,10,13.0,14.0,牡7,(栗東)佐々木,0,1:14.7,518(-2)
ダ1200m (右),6,0,55.0,除外,○外リモンディ,10,川田,,,1回京都7日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：稍重 / 発走：15:01,2018/01/21(日),山科Ｓ,10,,14.0,牡4,(美浦)木村,0,,534(0)
芝1400m (右 外),2,300,56.0,,ニシノラッシュ,2,幸,7.6,4.0,1回京都7日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：良 / 発走：15:35,2018/01/21(日),石清水Ｓ,11,1.0,11.0,牡6,(栗東)宮本,760,1:23.0,502(+6)
芝1400m (右 外),3,480,55.0,1.1/4,エスティタート,3,藤岡佑,19.0,8.0,1回京都7日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：良 / 発走：15:35,2018/01/21(日),石清水Ｓ,11,2.0,11.0,牝5,(栗東)松永幹,0,1:23.2,444(+8)
芝1400m (右 外),8,950,53.0,1.1/4,グレイスミノル,10,四位,40.7,9.0,1回京都7日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：良 / 発走：15:35,2018/01/21(日),石清水Ｓ,11,3.0,11.0,牝6,(栗東)本田,0,1:23.4,498(-2)
芝1400m (右 外),4,0,55.0,クビ,レインボーフラッグ,4,川田,4.1,3.0,1回京都7日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：良 / 発走：15:35,2018/01/21(日),石清水Ｓ,11,4.0,11.0,牡5,(栗東)小崎,0,1:23.4,468(+4)
芝1400m (右 外),6,0,54.0,1/2,ロイヤルストリート,6,福永,9.7,5.0,1回京都7日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：良 / 発走：15:35,2018/01/21(日),石清水Ｓ,11,5.0,11.0,牝6,(栗東)藤原英,0,1:23.5,446(-8)
芝1400m (右 外),6,0,56.0,クビ,クライムメジャー,7,荻野極,3.9,2.0,1回京都7日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：良 / 発走：15:35,2018/01/21(日),石清水Ｓ,11,6.0,11.0,牡4,(栗東)池江,0,1:23.6,510(-2)
芝1400m (右 外),5,0,50.0,クビ,○地クリノハッチャン,5,加藤,66.4,10.0,1回京都7日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：良 / 発走：15:35,2018/01/21(日),石清水Ｓ,11,7.0,11.0,牝7,(美浦)高市,0,1:23.6,462(0)
芝1400m (右 外),7,0,53.0,クビ,エントリーチケット,8,国分優,12.0,7.0,1回京都7日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：良 / 発走：15:35,2018/01/21(日),石清水Ｓ,11,8.0,11.0,牝4,(栗東)宮,0,1:23.7,450(0)
芝1400m (右 外),7,0,54.0,アタマ,マイネルパラディ,9,松岡,11.2,6.0,1回京都7日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：良 / 発走：15:35,2018/01/21(日),石清水Ｓ,11,9.0,11.0,牡4,(栗東)田所,0,1:23.7,486(-6)
芝1400m (右 外),1,0,50.0,1/2,クリノコマチ,1,高倉,191.1,11.0,1回京都7日目 ４歳上 サラ４歳上１６００万下,天気：曇 / 馬場：良 / 発走：15:35,2018/01/21(日),石清水Ｓ,11,10.0,11.0,牝7,(美浦)伊藤伸,0,1:23.8,456(-12)
