course_detail,frame,fukusho,futan,gap,horse,horse_num,jockey,odds,pop,race_category,race_condition,race_date,race_name,race_num,rank,run_count,sexage,stable,tansho,time,weight
芝2000m (左 外),6,190,55.0,,アドマイヤアゼリ,8,戸崎圭,9.8,3,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：15:11,2019/08/03(土),信濃川特別,10,1,12.0,牡5,(栗東)須貝,980,1:58.7,460(+4)
芝2000m (左 外),5,320,56.0,クビ,サーレンブラント,6,三浦,24.1,8,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：15:11,2019/08/03(土),信濃川特別,10,2,12.0,牡5,(美浦)戸田,0,1:58.7,452(-4)
芝2000m (左 外),6,120,53.0,クビ,パラダイスリーフ,7,石橋脩,2.0,1,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：15:11,2019/08/03(土),信濃川特別,10,3,12.0,牡3,(美浦)木村,0,1:58.8,496(+4)
芝2000m (左 外),3,0,56.0,クビ,ショパン,3,田辺,18.5,6,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：15:11,2019/08/03(土),信濃川特別,10,4,12.0,牡6,(栗東)角居,0,1:58.8,480(+2)
芝2000m (左 外),1,0,54.0,3/4,ディアシューター,1,大野,48.1,9,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：15:11,2019/08/03(土),信濃川特別,10,5,12.0,牡5,(美浦)高木,0,1:58.9,488(-10)
芝2000m (左 外),7,0,55.0,2.1/2,ショワドゥロワ,10,内田博,21.8,7,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：15:11,2019/08/03(土),信濃川特別,10,6,12.0,牡5,(美浦)鹿戸,0,1:59.3,510(+6)
芝2000m (左 外),5,0,54.0,アタマ,アトミックフォース,5,武藤,3.0,2,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：15:11,2019/08/03(土),信濃川特別,10,7,12.0,牡3,(美浦)武藤,0,1:59.4,460(-2)
芝2000m (左 外),2,0,52.0,1/2,アシェット,2,藤田菜,15.0,5,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：15:11,2019/08/03(土),信濃川特別,10,8,12.0,牝4,(美浦)高橋文,0,1:59.5,426(0)
芝2000m (左 外),8,0,54.0,2.1/2,プラチナアッシュ,12,菊沢,11.8,4,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：15:11,2019/08/03(土),信濃川特別,10,9,12.0,セ4,(栗東)寺島,0,1:59.9,468(+6)
芝2000m (左 外),7,0,51.0,5,レッドストーリア,9,野中,129.7,10,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：15:11,2019/08/03(土),信濃川特別,10,10,12.0,牝5,(栗東)石坂公,0,2:00.8,416(0)
芝2000m (左 外),8,0,53.0,1.1/4,ワイルドゲーム,11,丸田,391.2,11,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：15:11,2019/08/03(土),信濃川特別,10,11,12.0,牡6,(美浦)石栗,0,2:01.0,496(-6)
芝2000m (左 外),4,0,50.0,アタマ,スワンボート,4,岩部,652.2,12,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：15:11,2019/08/03(土),信濃川特別,10,12,12.0,牡9,(美浦)浅野,0,2:01.0,474(-6)
ダ1200m (左),8,130,55.0,,ストロベリームーン,14,Ｍデムーロ,1.9,1,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：15:45,2019/08/03(土),越後Ｓ,11,1,15.0,牝5,(栗東)庄野,190,1:10.6,444(-4)
ダ1200m (左),7,870,54.0,1/2,ヴォーガ,12,田中勝,48.5,10,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：15:45,2019/08/03(土),越後Ｓ,11,2,15.0,牡5,(栗東)森,0,1:10.7,444(-4)
ダ1200m (左),8,410,51.0,2,オルトグラフ,15,北村宏,17.9,6,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：15:45,2019/08/03(土),越後Ｓ,11,3,15.0,牝3,(美浦)池上,0,1:11.0,500(+8)
ダ1200m (左),2,0,54.0,ハナ,ノーフィアー,2,内田博,13.6,5,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：15:45,2019/08/03(土),越後Ｓ,11,4,15.0,牡5,(美浦)佐藤,0,1:11.0,498(+4)
ダ1200m (左),7,0,52.0,クビ,○地ワンダーアマービレ,13,長岡,13.1,4,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：15:45,2019/08/03(土),越後Ｓ,11,5,15.0,牝5,(栗東)杉山,0,1:11.1,462(+10)
ダ1200m (左),4,0,55.0,アタマ,アーバンイェーガー,6,戸崎圭,6.9,3,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：15:45,2019/08/03(土),越後Ｓ,11,6,15.0,牡5,(美浦)高橋文,0,1:11.1,502(0)
ダ1200m (左),4,0,56.0,1/2,○外アスタースウィング,7,三浦,5.5,2,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：15:45,2019/08/03(土),越後Ｓ,11,7,15.0,牡5,(栗東)中竹,0,1:11.2,520(0)
ダ1200m (左),3,0,52.0,3/4,○外ハニージェイド,4,柴田大,18.5,8,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：15:45,2019/08/03(土),越後Ｓ,11,8,15.0,牝5,(栗東)鮫島,0,1:11.3,478(-2)
ダ1200m (左),1,0,54.0,1/2,ゲキリン,1,川又,48.2,9,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：15:45,2019/08/03(土),越後Ｓ,11,9,15.0,牡5,(栗東)吉村,0,1:11.4,476(-2)
ダ1200m (左),5,0,54.0,3/4,オーヴァーライト,9,嶋田,77.4,12,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：15:45,2019/08/03(土),越後Ｓ,11,10,15.0,セ4,(美浦)手塚,0,1:11.5,476(-2)
ダ1200m (左),2,0,52.0,クビ,セパヌイール,3,松岡,109.6,14,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：15:45,2019/08/03(土),越後Ｓ,11,11,15.0,牝4,(栗東)吉村,0,1:11.6,462(+18)
ダ1200m (左),6,0,54.0,クビ,マイネルラック,10,宮崎,219.8,15,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：15:45,2019/08/03(土),越後Ｓ,11,12,15.0,牡6,(栗東)梅田,0,1:11.6,478(+4)
ダ1200m (左),5,0,53.0,ハナ,○地スティンライクビー,8,吉田豊,75.0,11,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：15:45,2019/08/03(土),越後Ｓ,11,13,15.0,セ7,(美浦)竹内,0,1:11.6,466(-6)
ダ1200m (左),3,0,53.0,3,ライジングリーズン,5,丸田,86.0,13,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：15:45,2019/08/03(土),越後Ｓ,11,14,15.0,牝5,(美浦)奥村武,0,1:12.1,498(+6)
ダ1200m (左),6,0,54.0,5,○外リモンディ,11,石橋脩,18.4,7,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：15:45,2019/08/03(土),越後Ｓ,11,15,15.0,牡5,(美浦)黒岩,0,1:12.9,556(+8)
芝1400m (左),3,250,52.0,,ネリッサ,6,北村宏,11.0,4,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:30,2019/08/03(土),３歳以上１勝クラス,12,1,18.0,牝3,(美浦)勢司,1100,1:20.6,426(+8)
芝1400m (左),8,110,52.0,3/4,ユナカイト,17,Ｍデムーロ,1.8,1,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:30,2019/08/03(土),３歳以上１勝クラス,12,2,18.0,牝3,(美浦)木村,0,1:20.7,472(-6)
芝1400m (左),2,310,55.0,3.1/2,ライレローズ,4,戸崎圭,16.9,6,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:30,2019/08/03(土),３歳以上１勝クラス,12,3,18.0,牝4,(美浦)古賀慎,0,1:21.3,432(0)
芝1400m (左),8,0,54.0,3/4,トミケンルーア,18,松岡,36.4,10,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:30,2019/08/03(土),３歳以上１勝クラス,12,4,18.0,セ3,(美浦)竹内,0,1:21.4,460(+2)
芝1400m (左),6,0,56.0,1,○外ヴァイスジーニー,12,☆野中,133.9,13,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:30,2019/08/03(土),３歳以上１勝クラス,12,5,18.0,牡5,(美浦)松永康,0,1:21.6,516(-10)
芝1400m (左),7,0,55.0,ハナ,グランドピルエット,14,田辺,24.4,8,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:30,2019/08/03(土),３歳以上１勝クラス,12,6,18.0,牝4,(美浦)田村,0,1:21.6,488(+6)
芝1400m (左),4,0,52.0,アタマ,カステヘルミ,8,津村,22.2,7,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:30,2019/08/03(土),３歳以上１勝クラス,12,7,18.0,牝3,(美浦)岩戸,0,1:21.6,414(-10)
芝1400m (左),5,0,57.0,クビ,バルトフォンテン,9,石橋脩,7.7,3,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:30,2019/08/03(土),３歳以上１勝クラス,12,8,18.0,牡4,(美浦)高橋裕,0,1:21.6,504(0)
芝1400m (左),6,0,57.0,1/2,ランスマン,11,丸山,33.7,9,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:30,2019/08/03(土),３歳以上１勝クラス,12,9,18.0,セ4,(美浦)上原,0,1:21.7,550(+2)
芝1400m (左),8,0,55.0,1/2,ブルーハワイアン,16,田中勝,189.5,16,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:30,2019/08/03(土),３歳以上１勝クラス,12,10,18.0,牝4,(美浦)田島,0,1:21.8,470(+12)
芝1400m (左),1,0,55.0,1.1/4,○地コスモフェリーク,2,木幡巧,161.6,14,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:30,2019/08/03(土),３歳以上１勝クラス,12,11,18.0,牝4,(美浦)天間,0,1:22.0,442(+4)
芝1400m (左),7,0,52.0,クビ,マリアルージュ,13,大野,44.7,12,2回新潟3日目 ３歳上 ,天気：晴 / 馬場：良 / 発走：16:30,2019/08/03(土),３歳以上１勝クラス,12,12,18.0,牝3,(美浦)畠山,0,1:22.0,454(-2)
