course_detail,frame,fukusho,futan,gap,horse,horse_num,jockey,odds,pop,race_category,race_condition,race_date,race_name,race_num,rank,run_count,sexage,stable,tansho,time,weight
障3110m (芝),8,110,61.0,,シンキングダンサー,14,石神,1.6,1,5回東京5日目 障害３歳上 ３歳上障害オープン,天気：晴 / 馬場：良 / 発走：13:45,2019/11/16(土),秋陽ＪＳ ,8,1,14.0,牡6,(美浦)武市,160,3:26.7,472(0)
障3110m (芝),3,120,60.0,4,コウユーヌレエフ,4,森一,4.3,2,5回東京5日目 障害３歳上 ３歳上障害オープン,天気：晴 / 馬場：良 / 発走：13:45,2019/11/16(土),秋陽ＪＳ ,8,2,14.0,牡5,(栗東)斉藤崇,0,3:27.4,494(-4)
障3110m (芝),1,170,59.0,4,マイネルオフィール,1,平沢,7.2,3,5回東京5日目 障害３歳上 ３歳上障害オープン,天気：晴 / 馬場：良 / 発走：13:45,2019/11/16(土),秋陽ＪＳ ,8,3,14.0,牡7,(栗東)飯田雄,0,3:28.1,490(-16)
障3110m (芝),5,0,57.0,1/2,クリノサンスーシ,7,北沢,32.1,8,5回東京5日目 障害３歳上 ３歳上障害オープン,天気：晴 / 馬場：良 / 発走：13:45,2019/11/16(土),秋陽ＪＳ ,8,4,14.0,牝6,(栗東)大根田,0,3:28.2,458(-4)
障3110m (芝),2,0,59.0,クビ,○地セガールフォンテン,2,江田勇,286.1,13,5回東京5日目 障害３歳上 ３歳上障害オープン,天気：晴 / 馬場：良 / 発走：13:45,2019/11/16(土),秋陽ＪＳ ,8,5,14.0,牡9,(美浦)石毛,0,3:28.2,506(+8)
障3110m (芝),3,0,59.0,2.1/2,シゲルサツマイモ,3,植野,30.1,7,5回東京5日目 障害３歳上 ３歳上障害オープン,天気：晴 / 馬場：良 / 発走：13:45,2019/11/16(土),秋陽ＪＳ ,8,6,14.0,牡4,(栗東)大橋,0,3:28.6,496(+4)
障3110m (芝),7,0,59.0,1,ホウオウカーニバル,11,上野,316.0,14,5回東京5日目 障害３歳上 ３歳上障害オープン,天気：晴 / 馬場：良 / 発走：13:45,2019/11/16(土),秋陽ＪＳ ,8,7,14.0,牡4,(美浦)稲垣,0,3:28.8,470(+6)
障3110m (芝),6,0,59.0,3,マイネルレオーネ,10,黒岩,22.6,6,5回東京5日目 障害３歳上 ３歳上障害オープン,天気：晴 / 馬場：良 / 発走：13:45,2019/11/16(土),秋陽ＪＳ ,8,8,14.0,牡7,(栗東)清水久,0,3:29.3,402(-4)
障3110m (芝),5,0,59.0,クビ,パリカラノテガミ,8,五十嵐,20.9,5,5回東京5日目 障害３歳上 ３歳上障害オープン,天気：晴 / 馬場：良 / 発走：13:45,2019/11/16(土),秋陽ＪＳ ,8,9,14.0,牡8,(美浦)清水英,0,3:29.3,458(+2)
障3110m (芝),7,0,59.0,クビ,○外アサクサゲンキ,12,熊沢,11.2,4,5回東京5日目 障害３歳上 ３歳上障害オープン,天気：晴 / 馬場：良 / 発走：13:45,2019/11/16(土),秋陽ＪＳ ,8,10,14.0,セ4,(栗東)音無,0,3:29.4,462(-6)
