course_detail,frame,fukusho,futan,gap,horse,horse_num,jockey,odds,pop,race_category,race_condition,race_date,race_name,race_num,rank,run_count,sexage,stable,tansho,time,weight
障3000m (芝),5,130,60.0,,ジャッカスバーク,8,熊沢重文,3.7,2,1回中京2日目 障害４歳上 ,天気：小雨 / 馬場：良 / 発走：11:20,2019/01/20(日),４歳上障害未勝利,4,1,14.0,セ8,(美浦)古賀慎,370,3:19.7,546(+4)
障3000m (芝),6,120,60.0,1/2,ルグランパントル,9,石神,2.4,1,1回中京2日目 障害４歳上 ,天気：小雨 / 馬場：良 / 発走：11:20,2019/01/20(日),４歳上障害未勝利,4,2,14.0,セ7,(美浦)栗田博,0,3:19.8,480(+2)
障3000m (芝),7,360,59.0,1.1/2,シーレーン,11,白浜,24.1,7,1回中京2日目 障害４歳上 ,天気：小雨 / 馬場：良 / 発走：11:20,2019/01/20(日),４歳上障害未勝利,4,3,14.0,牡4,(栗東)大久保,0,3:20.1,476(+18)
障3000m (芝),7,0,58.0,5,ノーブルサンズ,12,江田勇,36.1,8,1回中京2日目 障害４歳上 ,天気：小雨 / 馬場：良 / 発走：11:20,2019/01/20(日),４歳上障害未勝利,4,4,14.0,牝6,(美浦)田村,0,3:21.0,472(+4)
障3000m (芝),8,0,58.0,5,○地マリノパシフィカス,14,上野,69.1,11,1回中京2日目 障害４歳上 ,天気：小雨 / 馬場：良 / 発走：11:20,2019/01/20(日),４歳上障害未勝利,4,5,14.0,牝5,(美浦)松永康,0,3:21.8,430(-2)
障3000m (芝),6,0,59.0,1.3/4,セイウンフォーカス,10,中村,8.9,4,1回中京2日目 障害４歳上 ,天気：小雨 / 馬場：良 / 発走：11:20,2019/01/20(日),４歳上障害未勝利,4,6,14.0,牡4,(栗東)宮本,0,3:22.1,484(+16)
障3000m (芝),1,0,60.0,3,ウインカートゥーン,1,平沢,6.2,3,1回中京2日目 障害４歳上 ,天気：小雨 / 馬場：良 / 発走：11:20,2019/01/20(日),４歳上障害未勝利,4,7,14.0,牡6,(栗東)西園,0,3:22.6,510(+12)
障3000m (芝),3,0,58.0,クビ,クリノサンスーシ,4,北沢,17.3,6,1回中京2日目 障害４歳上 ,天気：小雨 / 馬場：良 / 発走：11:20,2019/01/20(日),４歳上障害未勝利,4,8,14.0,牝6,(栗東)大根田,0,3:22.6,468(+10)
障3000m (芝),3,0,60.0,2.1/2,キングドラゴン,3,五十嵐,11.0,5,1回中京2日目 障害４歳上 ,天気：小雨 / 馬場：良 / 発走：11:20,2019/01/20(日),４歳上障害未勝利,4,9,14.0,セ6,(美浦)藤沢和,0,3:23.0,526(+12)
障3000m (芝),8,0,60.0,クビ,テイエムイキオイ,13,佐久間,43.7,9,1回中京2日目 障害４歳上 ,天気：小雨 / 馬場：良 / 発走：11:20,2019/01/20(日),４歳上障害未勝利,4,10,14.0,牡5,(栗東)山内,0,3:23.1,480(+16)
