course_detail,frame,fukusho,futan,gap,horse,horse_num,jockey,odds,pop,race_category,race_condition,race_date,race_name,race_num,rank,run_count,sexage,stable,tansho,time,weight
芝1200m (左),8,330,54.0,,○外セイウンアカマイ,16,三浦,7.8,3,2回新潟1日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:35,2018/07/28(土),３歳未勝利,4,1.0,18.0,牝3,(美浦)上原,780,1:09.0,442(-4)
芝1200m (左),7,450,54.0,クビ,モシモ,15,戸崎圭,19.5,5,2回新潟1日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:35,2018/07/28(土),３歳未勝利,4,2.0,18.0,牝3,(美浦)本間,0,1:09.0,436(0)
芝1200m (左),8,620,54.0,1/2,グッドジュエリー,18,丸田,24.3,6,2回新潟1日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:35,2018/07/28(土),３歳未勝利,4,3.0,18.0,牝3,(美浦)堀井,0,1:09.1,454(+4)
芝1200m (左),4,0,54.0,1/2,ファーベライト,7,大野,3.0,2,2回新潟1日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:35,2018/07/28(土),３歳未勝利,4,4.0,18.0,牝3,(美浦)高木,0,1:09.2,476(+8)
芝1200m (左),7,0,54.0,アタマ,マサノアッレーグラ,14,田辺,2.2,1,2回新潟1日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:35,2018/07/28(土),３歳未勝利,4,5.0,18.0,牝3,(美浦)大竹,0,1:09.2,486(-12)
芝1200m (左),3,0,54.0,ハナ,ドリームジャンボ,5,杉原,15.4,4,2回新潟1日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:35,2018/07/28(土),３歳未勝利,4,6.0,18.0,牝3,(美浦)田中剛,0,1:09.2,470(+2)
芝1200m (左),3,0,54.0,1.1/2,グロウアイリス,6,江田照,197.4,14,2回新潟1日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:35,2018/07/28(土),３歳未勝利,4,7.0,18.0,牝3,(美浦)金成,0,1:09.4,408(-8)
芝1200m (左),6,0,56.0,1/2,ダジボーグ,11,石川,25.8,7,2回新潟1日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:35,2018/07/28(土),３歳未勝利,4,8.0,18.0,牡3,(美浦)相沢,0,1:09.5,432(+2)
芝1200m (左),5,0,54.0,ハナ,メジャードリーム,9,北村宏,29.1,9,2回新潟1日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:35,2018/07/28(土),３歳未勝利,4,9.0,18.0,牝3,(美浦)高柳瑞,0,1:09.5,486(-2)
芝1200m (左),2,0,56.0,1/2,フジサンデルタ,3,横山和,29.8,10,2回新潟1日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:35,2018/07/28(土),３歳未勝利,4,10.0,18.0,牡3,(美浦)武市,0,1:09.6,500(+6)
芝1200m (左),1,0,56.0,アタマ,ココロザシ,2,嘉藤,154.4,13,2回新潟1日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:35,2018/07/28(土),３歳未勝利,4,11.0,18.0,セ3,(美浦)田中清,0,1:09.6,434(+6)
芝1200m (左),8,0,54.0,3/4,ミルクアンドハニー,17,西田,428.2,17,2回新潟1日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:35,2018/07/28(土),３歳未勝利,4,12.0,18.0,牝3,(美浦)武市,0,1:09.7,436(-8)
芝1200m (左),4,0,56.0,1/2,スピードウイング,8,津村,337.1,15,2回新潟1日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:35,2018/07/28(土),３歳未勝利,4,13.0,18.0,牡3,(美浦)石毛,0,1:09.8,456(-2)
芝1200m (左),1,0,54.0,3/4,シャイニンオスカー,1,福永,27.7,8,2回新潟1日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:35,2018/07/28(土),３歳未勝利,4,14.0,18.0,牝3,(美浦)戸田,0,1:09.9,468(-6)
芝1200m (左),2,0,51.0,1.1/4,フォールライン,4,▲山田,415.6,16,2回新潟1日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:35,2018/07/28(土),３歳未勝利,4,15.0,18.0,牝3,(美浦)尾形,0,1:10.1,404(-2)
芝1200m (左),7,0,52.0,アタマ,ウェストレー,13,△藤田菜,102.1,12,2回新潟1日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:35,2018/07/28(土),３歳未勝利,4,16.0,18.0,牝3,(美浦)斎藤誠,0,1:10.1,388(0)
芝1200m (左),6,0,53.0,クビ,ドロップゴール,12,▲木幡育,78.4,11,2回新潟1日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:35,2018/07/28(土),３歳未勝利,4,17.0,18.0,牡3,(美浦)菊沢,0,1:10.2,500(-14)
芝1200m (左),5,0,54.0,中止,トミケンフィーナ,10,丹内,657.0,18,2回新潟1日目 ３歳 ,天気：晴 / 馬場：良 / 発走：11:35,2018/07/28(土),３歳未勝利,4,,18.0,牝3,(美浦)竹内,0,,420(+4)
芝1400m (左),3,180,54.0,,グレイシア,3,田辺,4.7,3,2回新潟1日目 ２歳 ,天気：晴 / 馬場：良 / 発走：12:25,2018/07/28(土),２歳新馬,5,1.0,13.0,牝2,(美浦)栗田徹,470,1:21.6,448(0)
