course_detail,frame,fukusho,futan,gap,horse,horse_num,jockey,odds,pop,race_category,race_condition,race_date,race_name,race_num,rank,run_count,sexage,stable,tansho,time,weight
芝1400m (右),3,140,55.0,,トゥザクラウン,3,福永,2.1,1,2回阪神6日目 ４歳上 サラ４歳上１６００万下,天気：晴 / 馬場：良 / 発走：15:01,2019/04/07(日),大阪―ハンブルクＣ,10,1,12.0,牡5,(栗東)池江,210,1:20.5,524(-2)
芝1400m (右),1,350,54.0,3/4,ヤマカツグレース,1,池添,15.5,6,2回阪神6日目 ４歳上 サラ４歳上１６００万下,天気：晴 / 馬場：良 / 発走：15:01,2019/04/07(日),大阪―ハンブルクＣ,10,2,12.0,牝5,(栗東)池添兼,0,1:20.6,458(0)
芝1400m (右),7,290,55.0,クビ,タイキサターン,9,北村友,13.8,5,2回阪神6日目 ４歳上 サラ４歳上１６００万下,天気：晴 / 馬場：良 / 発走：15:01,2019/04/07(日),大阪―ハンブルクＣ,10,3,12.0,牡4,(栗東)高野,0,1:20.7,488(-8)
芝1400m (右),8,0,55.0,ハナ,スワーヴアーサー,12,武豊,26.9,9,2回阪神6日目 ４歳上 サラ４歳上１６００万下,天気：晴 / 馬場：良 / 発走：15:01,2019/04/07(日),大阪―ハンブルクＣ,10,4,12.0,牡6,(栗東)庄野,0,1:20.7,484(-10)
芝1400m (右),6,0,52.0,アタマ,デスティニーソング,8,藤岡康,31.8,10,2回阪神6日目 ４歳上 サラ４歳上１６００万下,天気：晴 / 馬場：良 / 発走：15:01,2019/04/07(日),大阪―ハンブルクＣ,10,5,12.0,牝5,(栗東)松下,0,1:20.7,460(-2)
芝1400m (右),7,0,54.0,1.1/4,ハウメア,10,ルメール,5.0,2,2回阪神6日目 ４歳上 サラ４歳上１６００万下,天気：晴 / 馬場：良 / 発走：15:01,2019/04/07(日),大阪―ハンブルクＣ,10,6,12.0,牝5,(美浦)藤沢和,0,1:20.9,474(-2)
芝1400m (右),5,0,52.0,クビ,テルメディカラカラ,6,秋山,80.7,12,2回阪神6日目 ４歳上 サラ４歳上１６００万下,天気：晴 / 馬場：良 / 発走：15:01,2019/04/07(日),大阪―ハンブルクＣ,10,7,12.0,牝7,(栗東)石橋,0,1:20.9,476(+2)
芝1400m (右),4,0,55.0,1.1/4,ジョイフル,4,Ｍデムーロ,6.7,3,2回阪神6日目 ４歳上 サラ４歳上１６００万下,天気：晴 / 馬場：良 / 発走：15:01,2019/04/07(日),大阪―ハンブルクＣ,10,8,12.0,牡5,(栗東)吉村,0,1:21.1,518(+6)
芝1400m (右),2,0,54.0,1/2,○地タガノジーニアス,2,古川,79.2,11,2回阪神6日目 ４歳上 サラ４歳上１６００万下,天気：晴 / 馬場：良 / 発走：15:01,2019/04/07(日),大阪―ハンブルクＣ,10,9,12.0,牡6,(栗東)斉藤崇,0,1:21.2,514(+2)
芝1400m (右),8,0,55.0,クビ,グランドロワ,11,幸,19.4,7,2回阪神6日目 ４歳上 サラ４歳上１６００万下,天気：晴 / 馬場：良 / 発走：15:01,2019/04/07(日),大阪―ハンブルクＣ,10,10,12.0,牡5,(栗東)鈴木孝,0,1:21.3,490(0)
芝1400m (右),6,0,57.0,ハナ,アンブロジオ,7,石橋脩,20.5,8,2回阪神6日目 ４歳上 サラ４歳上１６００万下,天気：晴 / 馬場：良 / 発走：15:01,2019/04/07(日),大阪―ハンブルクＣ,10,11,12.0,牡4,(美浦)菊沢,0,1:21.3,460(-8)
芝1400m (右),5,0,56.0,1.3/4,ボンセルヴィーソ,5,松山,8.6,4,2回阪神6日目 ４歳上 サラ４歳上１６００万下,天気：晴 / 馬場：良 / 発走：15:01,2019/04/07(日),大阪―ハンブルクＣ,10,12,12.0,牡5,(栗東)池添学,0,1:21.6,478(+4)
芝1600m (右 外),4,170,55.0,,グランアレグリア,8,ルメール,3.4,2,2回阪神6日目 ３歳 サラ３歳オープン,天気：晴 / 馬場：良 / 発走：15:40,2019/04/07(日),桜花賞 ,11,1,18.0,牝3,(美浦)藤沢和,340,1:32.7,476(-6)
芝1600m (右 外),8,400,55.0,2.1/2,シゲルピンクダイヤ,16,和田,20.0,7,2回阪神6日目 ３歳 サラ３歳オープン,天気：晴 / 馬場：良 / 発走：15:40,2019/04/07(日),桜花賞 ,11,2,18.0,牝3,(栗東)渡辺,0,1:33.1,458(+6)
芝1600m (右 外),2,200,55.0,クビ,クロノジェネシス,4,北村友,5.7,3,2回阪神6日目 ３歳 サラ３歳オープン,天気：晴 / 馬場：良 / 発走：15:40,2019/04/07(日),桜花賞 ,11,3,18.0,牝3,(栗東)斉藤崇,0,1:33.1,434(-4)
芝1600m (右 外),7,0,55.0,ハナ,ダノンファンタジー,15,川田,2.8,1,2回阪神6日目 ３歳 サラ３歳オープン,天気：晴 / 馬場：良 / 発走：15:40,2019/04/07(日),桜花賞 ,11,4,18.0,牝3,(栗東)中内田,0,1:33.1,462(+2)
芝1600m (右 外),7,0,55.0,クビ,ビーチサンバ,14,福永,10.7,4,2回阪神6日目 ３歳 サラ３歳オープン,天気：晴 / 馬場：良 / 発走：15:40,2019/04/07(日),桜花賞 ,11,5,18.0,牝3,(栗東)友道,0,1:33.2,470(-6)
芝1600m (右 外),8,0,55.0,3/4,プールヴィル,18,秋山,115.0,14,2回阪神6日目 ３歳 サラ３歳オープン,天気：晴 / 馬場：良 / 発走：15:40,2019/04/07(日),桜花賞 ,11,6,18.0,牝3,(栗東)庄野,0,1:33.3,418(0)
芝1600m (右 外),1,0,55.0,1.1/4,エールヴォア,2,松山,26.1,8,2回阪神6日目 ３歳 サラ３歳オープン,天気：晴 / 馬場：良 / 発走：15:40,2019/04/07(日),桜花賞 ,11,7,18.0,牝3,(栗東)橋口,0,1:33.5,508(-2)
芝1600m (右 外),7,0,55.0,3/4,ジュランビル,13,松若,154.5,16,2回阪神6日目 ３歳 サラ３歳オープン,天気：晴 / 馬場：良 / 発走：15:40,2019/04/07(日),桜花賞 ,11,8,18.0,牝3,(栗東)寺島,0,1:33.6,460(-4)
芝1600m (右 外),1,0,55.0,クビ,シェーングランツ,1,武豊,19.2,6,2回阪神6日目 ３歳 サラ３歳オープン,天気：晴 / 馬場：良 / 発走：15:40,2019/04/07(日),桜花賞 ,11,9,18.0,牝3,(美浦)藤沢和,0,1:33.7,462(-10)
芝1600m (右 外),4,0,55.0,2,アウィルアウェイ,7,石橋脩,54.6,11,2回阪神6日目 ３歳 サラ３歳オープン,天気：晴 / 馬場：良 / 発走：15:40,2019/04/07(日),桜花賞 ,11,10,18.0,牝3,(栗東)高野,0,1:34.0,458(-4)
芝1600m (右 外),6,0,55.0,1.1/4,ノーワン,12,坂井,71.3,12,2回阪神6日目 ３歳 サラ３歳オープン,天気：晴 / 馬場：良 / 発走：15:40,2019/04/07(日),桜花賞 ,11,11,18.0,牝3,(栗東)笹田,0,1:34.2,482(+2)
芝1600m (右 外),6,0,55.0,1.1/4,メイショウケイメイ,11,古川,258.1,18,2回阪神6日目 ３歳 サラ３歳オープン,天気：晴 / 馬場：良 / 発走：15:40,2019/04/07(日),桜花賞 ,11,12,18.0,牝3,(栗東)南井,0,1:34.4,412(-2)
芝1600m (右 外),5,0,55.0,1.1/4,アクアミラビリス,9,Ｍデムーロ,12.4,5,2回阪神6日目 ３歳 サラ３歳オープン,天気：晴 / 馬場：良 / 発走：15:40,2019/04/07(日),桜花賞 ,11,13,18.0,牝3,(栗東)吉村,0,1:34.6,408(-10)
芝1600m (右 外),8,0,55.0,1/2,レッドアステル,17,戸崎圭,117.6,15,2回阪神6日目 ３歳 サラ３歳オープン,天気：晴 / 馬場：良 / 発走：15:40,2019/04/07(日),桜花賞 ,11,14,18.0,牝3,(美浦)国枝,0,1:34.7,408(-16)
芝1600m (右 外),5,0,55.0,1.3/4,フィリアプーラ,10,丸山,95.2,13,2回阪神6日目 ３歳 サラ３歳オープン,天気：晴 / 馬場：良 / 発走：15:40,2019/04/07(日),桜花賞 ,11,15,18.0,牝3,(美浦)菊沢,0,1:35.0,434(-2)
芝1600m (右 外),3,0,55.0,クビ,ホウオウカトリーヌ,6,大野,249.2,17,2回阪神6日目 ３歳 サラ３歳オープン,天気：晴 / 馬場：良 / 発走：15:40,2019/04/07(日),桜花賞 ,11,16,18.0,牝3,(美浦)栗田,0,1:35.0,476(0)
